population;mutation factor;crossover chance;selection;succession;crossover mode;score
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;787.4326215793503
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;825.3371013448558
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;778.1303520132991
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;782.3279414868204
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;801.8535383589353
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;797.8951812985194
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;794.3781389547613
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;810.1234447679952
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;799.4028056515872
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;780.9603132575489
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;796.2236603071328
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;780.9755935450012
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;790.7857852903277
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;792.1675865819276
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;792.2185797882725
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;783.1343867582799
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;760.9338679102368
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;782.8100935683202
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;790.862260127987
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;787.1029557731185
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;803.0923368240756
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;802.3675900504588
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;770.7028841297907
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;780.3814708037386
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;752.0429479550387
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;789.7246965037689
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;809.0310032154423
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;786.4461106374854
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;800.5608497840797
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;793.1007954054481
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;795.7638379666481
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;768.0099793741832
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;812.2542284943654
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;790.4921187917462
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;799.8305180048953
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;774.2811829004482
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;804.8903964834675
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;807.8121656474307
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;772.5722440569889
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;776.7355743704267
22;0.1016122270180222;0.49603308744204777;rand;best;hor-slice;774.3645633053706
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;808.9905319696969
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;835.6660784586529
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;841.3302249126781
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;813.0716402862112
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;834.3020723301755
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;851.2345779408956
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;809.9947548760866
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;830.9353197667697
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;836.2349444729285
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;853.2592942154396
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;813.6736339307765
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;838.9479666632849
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;853.8950095053519
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;833.1342910943714
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;831.9071084770546
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;820.9657047662834
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;841.0562411845068
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;835.1496639768471
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;826.9244590004831
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;819.6515932837419
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;817.2420022146949
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;853.5767700209452
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;845.8016716686855
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;844.133829745939
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;826.356757028613
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;834.0625728551739
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;831.9404052812348
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;810.4066462016636
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;827.0387323147531
22;0.00920185980836008;0.5529632933560192;rand;best;vert-slice;814.236334686241
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;818.1922746666639
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;844.9005510822839
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;826.7510638757202
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;836.5678132881944
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;798.9348745180876
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;831.0097783927141
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;838.3824762071146
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;823.321268306995
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;803.6131521103162
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;825.0716378651774
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;791.9560163548208
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;822.6452223496169
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;831.3439607691146
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;818.2202420341562
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;808.5268226516679
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;828.3009299632282
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;810.4914435438121
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;822.2183583856109
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;836.864602218447
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;835.8433944947463
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;834.6853451745783
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;801.2743739262922
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;817.8282512051289
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;821.7380965904526
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;804.3956292537201
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;830.2485743557114
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;797.2719725050172
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;811.7331318706717
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;815.7414749384602
10;0.13997909820003185;0.008732309965699847;rand;tourny;hor-slice;841.9793785065503
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;837.9988982662976
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;854.1182446909328
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;820.1113474210835
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;857.5689963534493
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;833.7877540329631
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;815.924860781142
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;844.6209780193011
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;832.581215289993
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;834.1922029683823
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;844.7163294369714
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;832.9580933765327
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;817.9833350131519
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;857.7394487381587
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;825.6691405628819
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;819.6057772246364
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;819.7117447535868
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;840.8505395622843
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;818.9772276542228
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;854.8761518601841
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;846.5105149946708
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;861.3829690512457
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;833.7206196652901
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;858.7043550718082
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;858.181992250687
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;845.7987197116566
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;852.4012100644933
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;831.9066476810772
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;830.3336395366756
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;866.4476536659632
23;0.02389608336288873;0.6830705923085667;rand;tourny;avg;835.4582291015454
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;828.2737851114337
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;804.3925973702729
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;777.9352700419485
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;820.5686085761719
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;811.8436539108259
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;807.7907911934798
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;815.3709319882342
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;799.0108051814794
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;822.2001342262591
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;820.5285665186536
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;810.9135753362868
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;788.1301755392594
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;795.8999156829708
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;832.878342812234
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;845.5565695115631
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;822.8230311344423
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;808.4025492052378
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;817.079617529967
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;821.0848289612917
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;794.103494122901
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;809.9413013079346
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;825.6043678213971
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;800.4688210096983
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;786.3987496933137
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;808.7488969898826
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;801.6433696789866
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;814.5239415098401
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;826.258346149561
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;792.4453480681966
22;0.46759925535429414;0.2056168284477755;exp;best;hor-slice;827.3609716909779
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;802.0877714928359
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;781.8020809005105
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;819.6723506334484
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;794.5450481823016
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;801.0703613132843
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;806.6787755231898
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;785.0887367069844
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;791.8571918780798
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;807.4450226928781
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;814.7890595491908
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;804.9601677454414
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;803.2209434943553
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;793.133547951231
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;815.9419235086393
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;820.4290018337246
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;815.207803423063
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;802.5677153985488
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;807.5028843461588
2;0.6276251193240092;0.4522378403844719;exp;tourny;avg;809.069679604095
