population;mutation factor;crossover chance;selection;succession;crossover mode;score
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;779.72
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;794.86
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;807.65
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;805.41
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;800.59
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;774.56
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;793.47
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;815.6
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;786.71
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;812.63
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;801.68
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;796.24
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;797.9
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;808.9
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;776.43
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;792.24
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;781.95
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;784.57
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;798.82
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;798.3
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;815.82
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;824.1
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;799.62
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;816.65
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;800.54
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;806.64
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;785.47
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;802.49
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;797.68
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;788.51
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;780.13
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;795.7
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;794.48
